index,name,status,group_year,movie_id
1175,andrew,b,2004,289591
1176,andrew,i,2010,24500960
1177,andrew,i,2009,21174235
1178,andrew,i,2012,32427485
1179,andrew,i,1993,5158963
1180,andrew,i,1999,1167483
1181,elliott,t,2003,871056
1182,elliott,t,2003,3266309
1183,elliott,t,2003,637187
1184,elliott,t,1979,8481
1185,elliott,t,1979,2648507
1186,elliott,i,1955,92540
1187,elliott,i,1986,12624367
1188,elliott,i,1946,31331222
1189,elliott,i,1938,11632165
1190,elliott,i,1941,28949505
1191,lionel,t,2010,25080984
1192,lionel,t,2010,18448029
1193,lionel,t,2010,11381825
1194,lionel,b,1984,374885
1195,lionel,b,1984,4343478
